,5% deviation,10% deviation,15% deviation,20% deviation,25% deviation,30% deviation,35% deviation,40% deviation,45% deviation,50% deviation
C1,2.4909304727921622e-05,9.963721891168649e-05,0.00022418374255129455,0.00039854887564674596,0.0006227326181980401,0.0008967349702051782,0.0012205559316681596,0.0015941955025869838,0.0020176536829616515,0.0024909304727921606
C2,0.00021390235077408887,0.0008556094030963555,0.0019251211569667997,0.003422437612385422,0.005347558769352221,0.007700484627867199,0.010481215187930352,0.013689750449541687,0.0173260904127012,0.021390235077408885
C3,0.001048635140330642,0.004194540561322568,0.009437716262975777,0.016778162245290273,0.02621587850826605,0.03775086505190311,0.051383121876201455,0.0671126489811611,0.08493944636678201,0.1048635140330642
C4,0.00019447021484375,0.000777880859375,0.00175023193359375,0.0031115234375,0.00486175537109375,0.007000927734375,0.00952904052734375,0.01244609375,0.015752087402343753,0.019447021484375
C5,2.7898382647773892e-05,0.00011159353059109557,0.00025108544382996514,0.0004463741223643823,0.000697459566194348,0.0010043417753198606,0.0013670207497409226,0.0017854964894575291,0.0022597689944696877,0.002789838264777392
C6,0.0015138787436084736,0.006055514974433894,0.013624908692476258,0.024222059897735577,0.03784696859021183,0.054499634769905034,0.07418005843681519,0.09688823959094231,0.12262417823228633,0.15138787436084733
C7,0.00023365774425234537,0.0009346309770093815,0.0021029196982711076,0.003738523908037526,0.0058414436063086335,0.00841167879308443,0.011449229468364922,0.014954095632150104,0.018926277284439977,0.023365774425234534
C8,0.00015590811394948148,0.0006236324557979259,0.001403173025545333,0.0024945298231917037,0.003897702848737037,0.005612692102181332,0.007639497583524592,0.009978119292766815,0.012628557229908,0.015590811394948148
C9,0.0012279907205880434,0.004911962882352174,0.011051916485292388,0.019647851529408695,0.030699768014701083,0.04420766594116955,0.060171545308814106,0.07859140611763478,0.09946724836763149,0.12279907205880433
C10,3.407254014728e-05,0.00013629016058912,0.00030665286132552,0.00054516064235648,0.000851813503682,0.00122661144530208,0.0016695544672167197,0.00218064256942592,0.0027598757519296793,0.003407254014728
C11,0.0010242676699811879,0.0040970706799247514,0.009218409029830687,0.016388282719699006,0.02560669174952969,0.03687363611932275,0.0501891158290782,0.06555313087879602,0.08296568126847621,0.10242676699811876
