,C1: 143,C5: 123,C10: 104,C13: 73,C18: 62,C29: 60,C37: 53,C47: 46,C14: 29,C26: 26,C42: 24,C4: 18,C2: 16,C7: 15,C20: 15,C12: 14,C40: 18,C8: 17,C27: 7,C17: 8,C24: 8,C31: 7,C52: 6,C38: 7,C46: 8,C11: 5,C41: 6,C15: 4,C53: 5,C51: 5,C25: 3,C9: 3,C32: 3,C43: 4,C35: 2,C23: 5,C16: 4,C50: 4,C36: 5,C30: 3,C48: 3,C3: 3,C19: 2,C44: 2,C39: 2,C6: 2,C34: 2,C21: 2,C33: 2,C28: 1,C45: 1,C49: 1,C22: 1
C1: 143,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Deviation,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NodeOverlap,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C2: 16,C4: 18,C7: 15,C20: 15,C12: 14,C26: 26,C42: 24,C14: 29,C8: 17,C40: 18,C47: 46,C37: 53,C29: 60,C18: 62,C24: 8,C13: 73,C27: 7,C38: 7,C52: 6,C10: 104,C5: 123,C1: 143,C51: 5,C41: 6,C23: 5,C53: 5,C36: 5,C17: 8,C15: 4,C31: 7,C46: 8,C50: 4,C43: 4,C11: 5,C16: 4,C48: 3,C25: 3,C9: 3,C32: 3,C3: 3,C35: 2,C33: 2,C30: 3,C19: 2,C44: 2,C39: 2,C6: 2,C34: 2,C21: 2,C45: 1,C22: 1,C49: 1,C28: 1
C2: 16,0.0,0.00046725845186340565,0.0009352719995112683,0.0009352719995112683,0.0014655158288796634,-,-,-,0.010690800967928241,0.01185148979409925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Deviation,-,10%,15%,15%,15%,,,,40%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NodeOverlap,16,16,15,14,14,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
