,Inflation,Nodes,NearestNonZeroClusters,NearestNonZeroZScores,Neighbor1,Neighbor2
C2,[1.3],"(15, 84, 85, 86, 92, 96, 98, 113, 126, 127, 128, 129, 130, 133, 134, 141)","['C4', 'C7']","[0.48, -0.42]","(15, 84, 85, 86, 92, 96, 98, 113, 126, 127, 128, 129, 130, 133, 134, 135, 140, 141)","(15, 84, 85, 86, 92, 96, 98, 113, 126, 127, 128, 129, 130, 133, 141)"
C3,"[1.4, 1.5, 1.6]","(33, 81, 120)","['C48', 'C9']","[-0.36, 0.04]","(23, 34, 42)","(46, 95, 112)"
C4,[1.4],"(15, 84, 85, 86, 92, 96, 98, 113, 126, 127, 128, 129, 130, 133, 134, 135, 140, 141)","['C2', 'C7']","[0.47, -0.4]","(15, 84, 85, 86, 92, 96, 98, 113, 126, 127, 128, 129, 130, 133, 134, 141)","(15, 84, 85, 86, 92, 96, 98, 113, 126, 127, 128, 129, 130, 133, 141)"
C7,[1.5],"(15, 84, 85, 86, 92, 96, 98, 113, 126, 127, 128, 129, 130, 133, 141)","['C12', 'C2']","[-0.86, -0.87]","(15, 84, 85, 86, 92, 98, 113, 126, 127, 128, 129, 130, 133, 141)","(15, 84, 85, 86, 92, 96, 98, 113, 126, 127, 128, 129, 130, 133, 134, 141)"
C8,"[1.5, 1.6, 1.7, 1.8]","(2, 3, 4, 18, 19, 20, 27, 28, 29, 31, 54, 65, 67, 69, 71, 132, 136)","['C40', 'C4']","[4.45, -0.39]","(2, 3, 4, 18, 19, 20, 27, 28, 29, 31, 48, 54, 65, 67, 69, 71, 132, 136)","(15, 84, 85, 86, 92, 96, 98, 113, 126, 127, 128, 129, 130, 133, 134, 135, 140, 141)"
C9,[1.5],"(46, 95, 112)","['C25', 'C32']","[-0.97, 1.83]","(72, 134, 140)","(110, 124, 138)"
C11,[1.6],"(8, 46, 80, 95, 112)","['C31', 'C25']","[-0.37, 1.43]","(8, 62, 80, 88, 95, 100, 108)","(72, 134, 140)"
C12,[1.6],"(15, 84, 85, 86, 92, 98, 113, 126, 127, 128, 129, 130, 133, 141)","['C7', 'C20']","[1.91, -0.88]","(15, 84, 85, 86, 92, 96, 98, 113, 126, 127, 128, 129, 130, 133, 141)","(15, 84, 85, 86, 92, 98, 113, 126, 127, 128, 129, 130, 133, 135, 141)"
C15,[1.7],"(22, 72, 134, 140)","['C50', 'C41']","[-0.29, 1.08]","(33, 111, 116, 120)","(85, 86, 92, 98, 129, 135)"
C16,[1.7],"(23, 111, 116, 120)","['C50', 'C23']","[-0.48, 0.85]","(33, 111, 116, 120)","(23, 33, 111, 116, 120)"
